Time,Centering Input,Distance Input,Centering Output,Distance Output
2.80800724029541,-2,20,21,-20202
3.2350242137908936,-2,20,23,-20200
3.6425552368164062,-2,20,22,-20273
4.039355754852295,-2,19,21,-19920
4.450842380523682,-1,19,18,-19920
4.859171152114868,-2,20,20,-20276
5.262961149215698,-3,20,31,-20270
5.672666788101196,-3,19,35,-19415
6.083178758621216,-3,18,36,-18075
6.484946966171265,-3,17,38,-17520
6.881186008453369,-4,17,43,-17526
7.287184000015259,-4,14,42,-14949
7.710547685623169,-3,12,36,-12180
8.128504037857056,-3,9,34,-9915
8.530909538269043,-3,5,32,-5584
8.9428551197052,-4,-4,49,4440
9.350648641586304,-6,-2,64,2760
9.754919290542603,-7,-5,72,5055
10.167058944702148,-6,0,67,-281
10.574182748794556,-6,3,64,-3050
10.970383882522583,-6,5,63,-5470
11.377309560775757,-4,6,47,-6948
11.77709698677063,-2,10,25,-10794
12.187710762023926,0,13,-2,-13680
12.614588260650635,0,15,-5,-15493
13.011173963546753,0,16,-8,-16928
13.41630244255066,1,15,-10,-15036
13.823090076446533,1,17,-14,-17290
14.23642611503601,1,13,-16,-13980
14.632104396820068,2,11,-23,-11664
15.047467231750488,2,10,-29,-10842
15.464982509613037,3,9,-34,-9616
15.872437238693237,5,6,-51,-6480
16.28576636314392,5,3,-57,-3186
16.695144176483154,7,-1,-75,1000
17.10758686065674,8,0,-82,261
17.521603107452393,8,2,-86,-2314
17.93375587463379,8,4,-87,-4014
18.34528398513794,8,6,-85,-6068
18.760329246520996,8,9,-81,-9181
19.15814471244812,7,9,-70,-9840
19.576314449310303,5,12,-58,-12990
20.006471395492554,3,13,-39,-13620
20.42373824119568,3,15,-33,-15810
20.85031008720398,3,14,-39,-14247
21.268510103225708,4,13,-40,-13167
21.676167726516724,5,12,-59,-12556
22.098055124282837,7,8,-77,-8600
22.507270097732544,8,5,-86,-5074
22.92522382736206,12,8,-120,-8907
23.330676078796387,12,14,-125,-14176
26.07976531982422,1,4,-12,-4385
26.50535488128662,0,4,-8,-4590
26.94153380393982,1,6,-13,-6480
27.369773864746094,1,7,-19,-7245
27.7985782623291,1,7,-19,-7851
28.21877098083496,0,6,-9,-6468
28.647193431854248,0,3,8,-3939
29.07047438621521,0,4,8,-4712
29.490543603897095,0,2,7,-2982
29.91079092025757,0,3,4,-3090
30.34018850326538,1,4,-10,-4010
30.778835773468018,1,1,-13,-1940
31.2075355052948,2,4,-24,-4260
31.6389057636261,2,4,-25,-4944
32.05752921104431,2,6,-28,-6948
32.48161315917969,3,7,-33,-7061
32.90799880027771,3,6,-34,-6790
33.34358024597168,3,7,-31,-7245
33.782283306121826,3,7,-30,-7911
34.21123552322388,3,8,-31,-8608
34.635196685791016,4,8,-44,-8700
35.07066226005554,3,10,-31,-10708
35.50682091712952,2,9,-29,-9945
35.962780475616455,2,10,-29,-10236
36.41109108924866,4,9,-47,-9910
36.843119382858276,6,7,-61,-7845
37.27920126914978,7,3,-78,-3666
37.731630086898804,10,5,-108,-5069
38.17533206939697,12,14,-129,-14434
38.62134075164795,14,19,-149,-19535
44.534170389175415,-6,5,68,-5920
44.96004819869995,-8,6,87,-6130
45.380852460861206,-10,5,101,-5705
45.792065382003784,-10,8,104,-8184
46.24247431755066,-12,5,127,-5604
46.69156050682068,-13,6,135,-6835
47.1165566444397,-13,7,131,-7320
47.54314970970154,-10,8,109,-8270
47.97509980201721,-9,10,96,-10101
48.41126871109009,-8,7,89,-7952
48.857489347457886,-8,8,84,-8478
49.28937220573425,-8,6,86,-6888
49.742706298828125,-7,6,79,-6888
50.18366503715515,-6,3,60,-3555
50.63565516471863,-4,4,45,-4329
51.0844612121582,-3,0,34,952
51.520676612854004,0,0,8,-200
51.972320795059204,2,2,-27,-2070
52.412444829940796,4,9,-41,-9231
52.864986419677734,5,0,-50,-894
53.31053924560547,5,-1,-57,1899
53.78272747993469,6,-6,-65,6168
54.23535394668579,6,-10,-69,10032
54.68089151382446,7,-9,-79,9200
55.139265298843384,5,-17,-58,17400
55.60077524185181,5,-9,-52,9187
56.049041986465454,5,-5,-56,5306
56.49680852890015,6,-3,-60,3132
56.945154905319214,4,-3,-49,3634
57.39481282234192,4,0,-49,420
57.8730845451355,4,3,-42,-3160
58.33974766731262,4,6,-42,-6357
58.80475831031799,3,5,-31,-5129
59.28710079193115,2,9,-26,-9120
59.75654125213623,2,9,-27,-9660
60.248342990875244,3,9,-36,-9547
60.70907402038574,7,3,-74,-3350
